Names;Class;N spectra;Archive;Code
Cnt1.Exp1;Cnt;1;Folder.1;10
Cnt2.Exp1;Cnt;2;Folder.1;11
Cnt1.Exp2;Cnt;2;Folder.1;13
Cnt2.Exp2;Cnt;2;Folder.1;15
Cnt1.Exp3;Cnt;2;Folder.1;17
Cnt2.Exp3;Cnt;2;Folder.1;19
Cnt1.Exp4;Cnt;2;Folder.1;21
Cnt2.Exp4;Cnt;2;Folder.1;23
Cnt1.Exp5;Cnt;2;Folder.1;25
Cnt1.Exp6;Cnt;2;Folder.1;27
Cnt2.Exp6;Cnt;2;Folder.1;29
Cnt3.Exp6;Cnt;2;Folder.1;31
Cnt4.Exp6;Cnt;2;Folder.1;33
Cnt1.Exp7;Cnt;2;Folder.1;35
Cnt2.Exp7;Cnt;2;Folder.1;37
Cnt3.Exp7;Cnt;2;Folder.1;39
Cnt4.Exp7;Cnt;2;Folder.1;41
Cnt1.Exp8;Cnt;2;Folder.1;43
Cnt2.Exp8;Cnt;2;Folder.1;45
Cnt3.Exp8;Cnt;2;Folder.1;47
Cnt4.Exp8;Cnt;2;Folder.1;49
Cnt5.Exp8;Cnt;2;Folder.1;51
Cnt6.Exp8;Cnt;2;Folder.1;53
Cnt7.Exp8;Cnt;2;Folder.1;55
Cnt8.Exp8;Cnt;2;Folder.1;57
IS1.Exp8;IS;2;Folder.1;59
IS2.Exp8;IS;2;Folder.1;61
IS3.Exp8;IS;2;Folder.1;63
IS4.Exp8;IS;2;Folder.1;65
IS5.Exp8;IS;2;Folder.1;67
IS1.Exp10;IS;2;Folder.1;69
IS2.Exp10;IS;2;Folder.1;71
IS3.Exp10;IS;2;Folder.1;73
IS4.Exp10;IS;2;Folder.1;75
IS5.Exp10;IS;2;Folder.1;77
IS6.Exp10;IS;2;Folder.1;79
IS7.Exp10;IS;2;Folder.1;81
IS8.Exp10;IS;2;Folder.1;83
IS9.Exp10;IS;2;Folder.1;85
IS1.Exp12;IS;2;Folder.2;10
IS2.Exp12;IS;2;Folder.2;12
IS3.Exp12;IS;2;Folder.2;14
IS4.Exp12;IS;2;Folder.2;16
IS5.Exp12;IS;2;Folder.2;18
IS1.Exp13;IS;2;Folder.2;20
IS2.Exp13;IS;2;Folder.2;22
IS3.Exp13;IS;2;Folder.2;24
IS4.Exp13;IS;2;Folder.2;26
LPS1.Exp1;LPS;2;Folder.2;28
LPS2.Exp1;LPS;1;Folder.2;30
LPS1.Exp2;LPS;2;Folder.2;31
LPS2.Exp2;LPS;2;Folder.2;33
LPS1.Exp4;LPS;2;Folder.2;35
LPS2.Exp4;LPS;2;Folder.2;37
LPS1.Exp7;LPS;2;Folder.2;39
LPS2.Exp7;LPS;2;Folder.2;41
LPS3.Exp7;LPS;2;Folder.2;43
LPS4.Exp7;LPS;2;Folder.2;45
LPS5.Exp7;LPS;2;Folder.2;47
LPS1.Exp8;LPS;2;Folder.2;49
LPS2.Exp8;LPS;2;Folder.2;51
LPS3.Exp8;LPS;2;Folder.2;53
LPS4.Exp8;LPS;2;Folder.2;55
LPS5.Exp8;LPS;2;Folder.2;57
LPS1.Exp9;LPS;2;Folder.2;59
LPS2.Exp9;LPS;2;Folder.2;61
LPS3.Exp9;LPS;2;Folder.2;63
LPS4.Exp9;LPS;2;Folder.2;65
LPS5.Exp9;LPS;2;Folder.2;67
LPS1.Exp11;LPS;2;Folder.2;69
LPS2.Exp11;LPS;2;Folder.2;71
LPS3.Exp11;LPS;2;Folder.2;73
LPS4.Exp11;LPS;2;Folder.2;75
LPS5.Exp11;LPS;2;Folder.2;77
LPS6.Exp11;LPS;2;Folder.2;79
LPS7.Exp11;LPS;2;Folder.2;81
LPS8.Exp11;LPS;2;Folder.2;83